elapsed,themeTime,voicePlaying,themeVolume,master,radioObjects
79.838,12.864,False,0.270,0,0
79.938,12.992,False,0.270,0,0
80.038,13.099,False,0.270,0,0
80.155,13.184,False,0.270,0,0
80.255,13.291,False,0.270,0,0
80.372,13.419,False,0.270,0,0
80.489,13.525,False,0.270,0,0
80.589,13.611,False,0.270,0,0
80.690,13.717,False,0.270,0,0
80.806,13.845,False,0.270,0,0
80.923,13.952,False,0.270,0,0
81.040,14.080,False,0.270,0,0
81.156,14.208,False,0.270,0,0
81.273,14.315,False,0.270,0,0
81.390,14.443,False,0.270,0,0
81.506,14.549,False,0.270,0,0
81.613,14.656,False,0.270,0,0
81.716,14.741,False,0.270,0,0
81.817,14.848,False,0.270,0,0
81.933,14.976,False,0.270,0,0
82.049,15.083,False,0.270,0,0
82.166,15.211,False,0.270,0,0
82.283,15.339,False,0.270,0,0
82.384,15.424,False,0.270,0,0
82.499,15.552,False,0.270,0,0
82.601,15.659,False,0.270,0,0
82.701,15.744,False,0.270,0,0
82.818,15.851,False,0.270,0,0
82.918,15.957,False,0.270,0,0
83.035,16.085,False,0.270,0,0
83.152,16.192,False,0.270,0,0
83.269,16.299,False,0.270,0,0
83.373,16.427,False,0.270,0,0
83.490,16.533,False,0.270,0,0
83.591,16.640,False,0.270,0,0
83.707,16.768,False,0.270,0,0
83.808,16.853,False,0.270,0,0
83.914,16.960,False,0.270,0,0
84.015,17.045,False,0.270,0,0
84.132,17.173,False,0.270,0,0
84.248,17.280,False,0.270,0,0
84.349,17.387,False,0.270,0,0
84.449,17.493,False,0.270,0,0
84.565,17.600,False,0.270,0,0
84.682,17.728,False,0.270,0,0
84.799,17.835,False,0.270,0,0
84.904,17.941,False,0.270,0,0
85.021,18.069,False,0.270,0,0
85.137,18.176,False,0.270,0,0
85.254,18.304,False,0.270,0,0
85.354,18.389,False,0.270,0,0
85.456,18.496,False,0.270,0,0
85.572,18.624,False,0.270,0,0
85.677,18.709,False,0.270,0,0
85.784,18.816,False,0.270,0,0
85.886,18.944,False,0.270,0,0
86.003,19.029,False,0.270,0,0
86.120,19.157,False,0.270,0,0
86.221,19.243,False,0.270,0,0
86.337,19.371,False,0.270,0,0
86.437,19.477,False,0.270,0,0
86.554,19.584,False,0.270,0,0
