time,racer,x,y,z,speed,grounded,branch,position,earned,rejoinSeconds,road,nextGate,misses,penalty,buzzes
6.820,BLUE,317.080,31.789,449.265,31.399,4,none,0.000,0.000,0.000,64.742,1,0,0.000,0
6.940,YOU reference pilot,321.637,24.172,478.004,28.114,4,none,0.000,0.000,0.000,35.043,1,0,0.000,0
6.940,EMBER,317.154,25.408,473.295,27.222,4,none,0.000,0.000,0.000,39.952,1,0,0.000,0
6.940,GOLD,320.994,32.204,447.735,31.537,4,none,0.000,0.000,0.000,66.293,1,0,0.000,0
6.940,BLUE,317.056,32.798,445.633,31.431,4,none,0.000,0.000,0.000,68.511,1,0,0.000,0
7.080,YOU reference pilot,321.611,25.172,474.162,28.553,4,none,0.000,0.000,0.000,39.003,1,0,0.000,0
7.080,EMBER,317.138,26.399,469.577,27.691,4,none,0.000,0.000,0.000,43.793,1,0,0.000,0
7.080,GOLD,320.962,33.388,443.482,31.535,4,none,0.000,0.000,0.000,70.709,1,0,0.000,0
7.080,BLUE,317.027,33.980,441.393,31.445,4,none,0.000,0.000,0.000,72.912,1,0,0.000,0
7.220,YOU reference pilot,321.587,26.202,470.267,28.967,4,none,0.000,0.000,0.000,43.023,1,0,0.000,0
7.220,EMBER,317.127,27.416,465.800,28.137,4,none,0.000,0.000,0.000,47.699,1,0,0.000,0
7.220,GOLD,320.931,34.575,439.231,31.533,4,none,0.000,0.000,0.000,75.125,1,0,0.000,0
7.220,BLUE,317.000,35.165,437.153,31.450,4,none,0.000,0.000,0.000,77.314,1,0,0.000,0
7.340,YOU reference pilot,321.565,27.108,466.888,29.304,4,none,0.000,0.000,0.000,46.515,1,0,0.000,0
7.340,EMBER,317.119,28.306,462.517,28.504,4,none,0.000,0.000,0.000,51.095,1,0,0.000,0
7.340,GOLD,320.906,35.595,435.587,31.532,4,none,0.000,0.000,0.000,78.910,1,0,0.000,0
7.340,BLUE,316.977,36.182,433.519,31.452,4,none,0.000,0.000,0.000,81.087,1,0,0.000,0
7.480,YOU reference pilot,321.539,28.189,462.900,29.677,4,none,0.000,0.000,0.000,50.638,1,0,0.000,0
7.480,EMBER,317.110,29.365,458.636,28.913,4,none,0.000,0.000,0.000,55.112,1,0,0.000,0
